state_id,learned_generation,learned_action,instinct_action,assimilation_generation,lag,persistent
21,42,1,2,43.0,1.0,False
21,49,0,2,,,False
21,54,2,1,55.0,1.0,False
22,0,1,0,,,False
23,0,1,2,2.0,2.0,False
23,2,2,1,3.0,1.0,True
24,0,1,0,1.0,1.0,False
24,1,0,1,2.0,1.0,False
25,8,1,2,16.0,8.0,False
25,15,1,2,16.0,1.0,False
25,18,0,1,19.0,1.0,True
26,2,1,0,,,False
28,3,1,0,4.0,1.0,False
28,4,2,1,6.0,2.0,False
28,5,2,1,6.0,1.0,False
28,8,1,2,19.0,11.0,False
28,16,1,2,19.0,3.0,False
28,50,1,2,52.0,2.0,False
28,51,1,2,52.0,1.0,False
28,56,1,2,57.0,1.0,False
29,0,1,0,1.0,1.0,False
29,19,0,1,20.0,1.0,False
29,37,0,1,38.0,1.0,False
29,40,1,0,43.0,3.0,False
29,41,1,0,43.0,2.0,False
29,42,1,0,43.0,1.0,False
29,44,1,0,45.0,1.0,False
29,49,1,0,50.0,1.0,True
30,0,1,0,1.0,1.0,False
30,3,2,0,4.0,1.0,True
31,0,1,0,,,False
31,2,1,0,,,False
32,0,0,2,1.0,1.0,False
32,1,2,0,2.0,1.0,True
32,2,1,2,,,False
33,13,2,1,14.0,1.0,False
33,16,1,2,20.0,4.0,False
33,18,1,2,20.0,2.0,False
33,19,1,2,20.0,1.0,False
33,25,1,2,27.0,2.0,False
33,26,1,2,27.0,1.0,False
33,29,1,2,33.0,4.0,False
33,31,1,2,33.0,2.0,False
33,32,1,2,33.0,1.0,False
33,52,1,2,55.0,3.0,True
33,53,1,2,55.0,2.0,True
33,54,1,2,55.0,1.0,True
34,1,2,0,2.0,1.0,True
34,2,1,2,,,False
35,0,1,0,7.0,7.0,False
35,6,1,2,7.0,1.0,False
35,56,0,2,57.0,1.0,True
36,0,0,1,26.0,26.0,False
36,2,0,2,26.0,24.0,False
36,15,1,2,16.0,1.0,False
36,17,1,2,22.0,5.0,False
36,19,1,2,22.0,3.0,False
36,26,1,0,,,False
36,27,0,2,28.0,1.0,True
38,1,2,0,2.0,1.0,True
38,2,1,2,,,False
39,1,0,1,2.0,1.0,False
40,2,1,0,3.0,1.0,False
40,19,0,1,21.0,2.0,True
40,20,0,2,21.0,1.0,True
41,0,1,2,4.0,4.0,False
41,2,1,0,4.0,2.0,False
41,3,1,0,4.0,1.0,False
41,10,2,1,11.0,1.0,True
42,0,1,0,,,False
42,1,0,2,2.0,1.0,False
42,3,2,0,4.0,1.0,True
43,0,1,2,3.0,3.0,False
43,1,0,2,2.0,1.0,False
43,2,1,0,3.0,1.0,False
43,3,2,1,4.0,1.0,False
43,7,1,2,8.0,1.0,False
43,8,2,1,9.0,1.0,False
43,18,2,1,20.0,2.0,False
43,21,2,1,23.0,2.0,False
43,22,2,1,23.0,1.0,False
43,24,1,2,26.0,2.0,False
43,27,2,1,28.0,1.0,False
43,28,1,2,29.0,1.0,False
43,35,2,1,37.0,2.0,False
43,38,1,2,40.0,2.0,False
43,40,2,1,43.0,3.0,False
43,41,2,1,43.0,2.0,False
43,42,2,1,43.0,1.0,False
43,43,1,2,44.0,1.0,False
43,45,1,2,48.0,3.0,False
43,48,2,1,50.0,2.0,True
43,49,2,1,50.0,1.0,True
44,0,1,2,2.0,2.0,False
44,3,1,0,4.0,1.0,False
44,4,2,1,5.0,1.0,False
44,22,2,1,23.0,1.0,False
44,24,2,1,25.0,1.0,False
44,33,1,2,34.0,1.0,False
44,34,2,1,35.0,1.0,False
44,38,2,1,41.0,3.0,False
44,39,2,1,41.0,2.0,False
44,44,1,2,57.0,13.0,False
44,57,2,1,59.0,2.0,True
44,58,2,1,59.0,1.0,True
46,0,1,2,,,False
46,2,1,0,,,False
47,1,2,0,3.0,2.0,False
47,4,1,2,5.0,1.0,False
47,5,2,1,6.0,1.0,False
47,16,1,2,,,False
47,19,0,2,21.0,2.0,False
47,20,0,2,21.0,1.0,False
47,25,0,2,26.0,1.0,False
47,27,0,2,33.0,6.0,False
47,28,0,2,33.0,5.0,False
47,29,0,2,33.0,4.0,False
47,30,0,2,33.0,3.0,False
47,31,0,2,33.0,2.0,False
47,32,0,2,33.0,1.0,False
47,38,2,0,40.0,2.0,False
47,40,0,2,41.0,1.0,False
47,41,2,0,42.0,1.0,False
47,42,0,2,43.0,1.0,False
47,54,0,2,55.0,1.0,True
48,2,1,0,,,False
49,0,1,0,,,False
50,0,0,1,2.0,2.0,False
50,2,2,0,3.0,1.0,False
50,4,2,1,5.0,1.0,False
50,46,2,0,47.0,1.0,True
51,1,2,0,15.0,14.0,False
51,15,1,2,18.0,3.0,False
51,16,1,2,18.0,2.0,False
51,19,1,2,20.0,1.0,False
51,24,1,2,25.0,1.0,False
51,27,1,0,29.0,2.0,False
51,28,1,0,29.0,1.0,False
51,36,1,2,37.0,1.0,False
51,40,1,2,41.0,1.0,False
51,42,1,2,43.0,1.0,False
51,47,1,2,48.0,1.0,False
51,49,1,0,50.0,1.0,False
51,51,1,2,53.0,2.0,False
51,52,1,2,53.0,1.0,False
51,55,1,2,56.0,1.0,True
52,0,1,0,2.0,2.0,False
52,7,2,1,8.0,1.0,False
53,1,2,0,2.0,1.0,True
53,2,1,2,,,False
54,1,1,2,2.0,1.0,False
54,4,2,1,5.0,1.0,False
54,57,2,1,59.0,2.0,True
54,58,2,1,59.0,1.0,True
54,59,1,2,,,False
55,1,2,0,3.0,2.0,False
55,4,1,2,5.0,1.0,False
55,6,1,2,7.0,1.0,False
55,14,1,2,,,False
55,20,0,2,21.0,1.0,False
55,23,0,2,24.0,1.0,False
55,27,0,2,33.0,6.0,False
55,28,0,2,33.0,5.0,False
55,29,0,2,33.0,4.0,False
55,30,0,2,33.0,3.0,False
55,31,0,2,33.0,2.0,False
55,32,0,2,33.0,1.0,False
55,34,0,2,36.0,2.0,False
55,38,2,0,39.0,1.0,False
55,41,2,0,42.0,1.0,False
55,46,2,0,47.0,1.0,True
56,0,1,0,3.0,3.0,True
56,1,0,2,2.0,1.0,False
57,0,0,2,1.0,1.0,False
57,2,0,2,,,False
57,4,1,2,5.0,1.0,False
57,8,2,1,9.0,1.0,False
57,10,2,1,11.0,1.0,True
58,0,1,0,18.0,18.0,False
58,1,0,2,,,False
58,2,1,2,18.0,16.0,False
58,39,1,2,40.0,1.0,False
58,43,1,2,45.0,2.0,True
58,44,1,2,45.0,1.0,True
59,0,0,1,2.0,2.0,False
59,52,1,2,53.0,1.0,True
60,0,1,2,3.0,3.0,True
61,1,2,0,7.0,6.0,False
61,11,1,2,12.0,1.0,False
61,12,2,1,14.0,2.0,False
61,15,1,2,22.0,7.0,False
61,16,1,2,22.0,6.0,False
61,18,1,2,22.0,4.0,False
61,19,1,2,22.0,3.0,False
61,22,0,1,23.0,1.0,False
61,24,0,2,25.0,1.0,False
61,40,0,2,41.0,1.0,False
61,44,0,1,45.0,1.0,False
61,54,0,1,55.0,1.0,False
61,59,0,1,,,False
62,0,1,2,4.0,4.0,False
62,3,1,0,4.0,1.0,False
62,7,1,2,8.0,1.0,False
62,9,1,2,10.0,1.0,False
62,12,1,2,13.0,1.0,True
63,16,1,0,17.0,1.0,True
64,0,1,0,14.0,14.0,False
64,1,1,0,14.0,13.0,False
64,2,1,0,14.0,12.0,False
64,14,2,1,15.0,1.0,True
65,0,1,2,3.0,3.0,True
66,0,1,0,,,False
66,2,1,0,,,False
67,0,1,2,3.0,3.0,False
67,1,0,2,2.0,1.0,False
67,3,2,1,4.0,1.0,True
68,0,1,2,,,False
68,1,2,0,2.0,1.0,False
68,2,1,2,,,False
68,3,2,0,4.0,1.0,True
69,0,1,0,3.0,3.0,False
69,3,2,1,4.0,1.0,True
70,0,0,1,2.0,2.0,False
70,2,2,0,3.0,1.0,False
70,6,1,2,10.0,4.0,False
70,11,1,2,12.0,1.0,False
70,16,1,2,,,False
70,17,0,2,18.0,1.0,True
71,0,1,0,2.0,2.0,False
71,4,1,2,5.0,1.0,False
71,6,1,2,10.0,4.0,False
71,10,2,1,11.0,1.0,False
71,13,2,1,14.0,1.0,False
71,18,0,2,20.0,2.0,False
72,0,1,0,1.0,1.0,False
72,4,2,1,5.0,1.0,False
73,1,2,0,2.0,1.0,True
73,2,1,2,,,False
74,1,2,0,2.0,1.0,True
75,0,1,0,,,False
76,1,2,1,3.0,2.0,False
76,19,2,0,20.0,1.0,False
76,30,2,0,31.0,1.0,True
77,0,1,0,,,False
78,1,0,2,2.0,1.0,False
79,2,1,0,,,False
80,0,1,0,3.0,3.0,False
80,3,0,1,,,False
81,1,0,2,2.0,1.0,False
81,3,0,1,,,False
82,0,1,0,,,False
83,0,1,0,1.0,1.0,False
83,1,0,1,2.0,1.0,False
83,19,1,0,21.0,2.0,False
83,29,1,0,31.0,2.0,False
83,30,1,0,31.0,1.0,False
83,31,0,1,32.0,1.0,False
83,35,0,1,37.0,2.0,False
83,36,0,1,37.0,1.0,False
83,46,0,1,47.0,1.0,False
83,53,1,0,54.0,1.0,True
84,0,1,2,3.0,3.0,False
86,1,0,2,2.0,1.0,False
86,3,0,1,,,False
87,0,1,0,3.0,3.0,True
88,0,1,0,2.0,2.0,False
89,0,1,2,3.0,3.0,False
89,1,0,2,2.0,1.0,False
89,3,2,1,4.0,1.0,False
89,8,1,2,10.0,2.0,False
89,15,1,2,16.0,1.0,False
89,57,1,2,58.0,1.0,True
90,0,0,1,2.0,2.0,False
90,2,2,0,3.0,1.0,False
90,4,2,1,5.0,1.0,True
91,0,1,0,2.0,2.0,False
91,5,2,1,6.0,1.0,True
92,0,1,0,16.0,16.0,False
92,2,2,0,3.0,1.0,False
92,15,1,2,16.0,1.0,False
92,17,1,2,18.0,1.0,True
93,0,1,0,2.0,2.0,False
93,1,1,0,2.0,1.0,False
93,2,0,1,3.0,1.0,False
93,3,1,0,4.0,1.0,False
93,5,1,2,6.0,1.0,False
93,7,1,2,8.0,1.0,True
94,0,1,0,3.0,3.0,True
95,0,1,2,2.0,2.0,False
95,2,2,1,3.0,1.0,False
95,18,2,0,21.0,3.0,False
95,20,2,0,21.0,1.0,False
95,21,0,2,22.0,1.0,False
95,23,2,0,25.0,2.0,False
95,26,2,0,27.0,1.0,True
96,6,1,2,7.0,1.0,False
96,18,0,1,19.0,1.0,False
96,20,0,2,21.0,1.0,True
97,4,1,2,5.0,1.0,False
97,5,2,1,6.0,1.0,False
97,10,1,2,12.0,2.0,False
97,12,2,1,13.0,1.0,False
97,22,0,2,23.0,1.0,False
97,23,2,0,24.0,1.0,False
97,27,0,2,41.0,14.0,False
97,29,0,2,41.0,12.0,False
97,35,0,2,41.0,6.0,False
97,40,0,2,41.0,1.0,False
97,41,2,0,42.0,1.0,False
97,42,0,2,43.0,1.0,False
97,44,0,2,45.0,1.0,False
97,46,0,2,47.0,1.0,False
97,48,2,0,49.0,1.0,True
98,0,0,1,1.0,1.0,False
98,4,1,2,5.0,1.0,False
98,9,1,2,10.0,1.0,False
98,31,1,2,33.0,2.0,False
98,32,1,2,33.0,1.0,False
98,41,1,0,42.0,1.0,True
99,0,0,2,1.0,1.0,False
100,0,0,2,1.0,1.0,False
100,1,1,0,,,False
100,2,1,0,,,False
101,0,0,2,1.0,1.0,False
101,3,1,2,5.0,2.0,False
101,4,1,2,5.0,1.0,False
101,10,1,2,,,False
102,0,1,0,,,False
102,1,2,0,3.0,2.0,True
102,2,1,0,,,False
103,0,1,2,8.0,8.0,False
103,1,2,0,2.0,1.0,False
103,8,2,1,9.0,1.0,False
103,41,2,0,42.0,1.0,True
104,0,1,2,26.0,26.0,False
104,26,2,1,29.0,3.0,False
104,29,1,2,30.0,1.0,False
104,31,1,2,33.0,2.0,False
104,33,2,1,39.0,6.0,True
105,0,1,2,3.0,3.0,False
105,2,0,2,,,False
105,3,2,1,4.0,1.0,False
105,4,1,2,5.0,1.0,False
105,15,1,2,16.0,1.0,False
105,19,1,2,21.0,2.0,False
105,21,2,1,22.0,1.0,False
105,22,1,2,33.0,11.0,False
105,31,1,2,33.0,2.0,False
105,32,1,2,33.0,1.0,False
105,35,2,1,36.0,1.0,False
105,46,1,2,47.0,1.0,False
105,47,2,1,49.0,2.0,False
105,48,2,1,49.0,1.0,False
105,51,2,1,52.0,1.0,True
107,0,1,0,1.0,1.0,False
107,2,0,1,3.0,1.0,False
107,3,1,0,,,False
108,1,2,0,2.0,1.0,True
108,2,1,2,,,False
109,0,1,0,3.0,3.0,False
109,3,0,1,,,False
109,4,1,2,,,False
110,0,1,0,4.0,4.0,False
110,3,1,0,4.0,1.0,False
110,9,1,2,10.0,1.0,False
110,12,1,2,13.0,1.0,False
110,29,1,2,31.0,2.0,False
110,30,1,2,31.0,1.0,False
110,32,1,2,33.0,1.0,False
110,36,1,2,37.0,1.0,False
110,42,1,2,44.0,2.0,False
110,43,1,2,44.0,1.0,False
111,0,1,2,3.0,3.0,False
111,16,1,0,17.0,1.0,False
111,36,1,0,37.0,1.0,False
111,48,1,0,49.0,1.0,True
112,0,1,2,13.0,13.0,False
112,1,1,2,13.0,12.0,False
112,2,1,0,13.0,11.0,False
112,12,1,2,13.0,1.0,False
112,13,2,1,14.0,1.0,False
112,22,2,1,23.0,1.0,False
112,23,1,2,24.0,1.0,False
112,25,1,2,26.0,1.0,False
112,43,2,1,44.0,1.0,False
112,46,2,1,47.0,1.0,True
112,47,1,2,,,False
113,2,2,1,3.0,1.0,True
114,1,2,0,2.0,1.0,True
114,2,1,2,,,False
115,0,1,0,3.0,3.0,False
115,34,1,0,35.0,1.0,True
116,2,0,2,,,False
117,0,1,0,2.0,2.0,False
117,2,2,1,3.0,1.0,True
118,1,2,0,3.0,2.0,True
119,0,1,0,,,False
119,2,1,0,,,False
120,1,1,0,,,False
120,3,2,0,4.0,1.0,True
122,0,0,1,1.0,1.0,False
122,1,2,0,2.0,1.0,True
122,2,0,2,,,False
123,1,1,0,3.0,2.0,True
124,2,0,2,,,False
125,0,1,0,1.0,1.0,False
125,3,1,0,4.0,1.0,True
126,0,1,0,,,False
126,2,1,0,,,False
127,0,1,0,1.0,1.0,False
127,2,0,1,16.0,14.0,False
127,17,0,2,18.0,1.0,True
128,0,1,2,3.0,3.0,False
128,1,0,2,2.0,1.0,False
128,3,2,1,4.0,1.0,True
129,0,1,2,4.0,4.0,False
129,2,1,2,4.0,2.0,False
129,3,1,0,4.0,1.0,False
129,20,1,2,21.0,1.0,False
129,30,1,2,33.0,3.0,False
129,31,1,2,33.0,2.0,False
129,32,1,2,33.0,1.0,False
129,38,1,2,40.0,2.0,False
129,39,1,2,40.0,1.0,False
129,44,1,2,45.0,1.0,False
129,50,1,2,51.0,1.0,False
129,52,1,2,54.0,2.0,True
129,53,1,2,54.0,1.0,True
130,3,2,0,4.0,1.0,True
