state,origin_gen,instinct_before,learned_action,persistence,assimilated,dist_to_lava
"(5, 2, 2)",42,2,1,0,False,2
"(1, 3, 3)",42,2,1,0,False,3
"(2, 4, 0)",42,0,1,1,False,1
"(5, 5, 1)",42,2,1,4,True,2
"(5, 1, 2)",43,2,1,0,False,2
"(1, 3, 3)",43,2,1,0,False,3
"(4, 3, 1)",43,2,1,0,False,2
"(5, 4, 2)",43,2,1,0,False,2
"(5, 1, 2)",44,2,1,2,False,2
"(3, 3, 1)",44,0,1,2,False,1
"(3, 3, 3)",44,0,1,0,False,1
"(4, 3, 1)",44,2,1,0,False,2
"(2, 4, 0)",44,0,1,3,True,1
"(5, 4, 2)",44,2,1,0,False,2
"(5, 2, 2)",45,2,1,2,False,2
"(3, 3, 3)",45,0,1,1,False,1
"(5, 4, 2)",45,2,1,2,False,2
"(4, 2, 2)",46,0,1,0,False,1
"(1, 3, 3)",46,2,1,2,False,3
"(3, 3, 3)",46,1,0,2,False,1
"(5, 1, 2)",47,2,1,0,False,2
"(1, 3, 3)",48,1,2,6,True,3
"(1, 1, 3)",49,2,0,0,False,2
"(1, 3, 3)",49,2,1,0,False,3
"(3, 3, 1)",49,1,0,0,False,1
"(2, 4, 0)",49,0,1,10,True,1
"(5, 5, 1)",49,2,0,0,False,2
"(1, 4, 0)",50,2,1,0,False,2
"(1, 2, 0)",51,2,1,0,False,2
"(4, 2, 2)",51,0,1,0,False,1
"(1, 4, 0)",51,2,1,1,False,2
"(4, 2, 2)",52,0,1,0,False,1
"(2, 3, 3)",52,2,1,0,False,2
"(4, 3, 3)",52,2,0,3,True,2
"(4, 2, 2)",53,0,1,6,True,1
"(2, 3, 3)",53,2,1,0,False,2
"(1, 1, 3)",54,1,2,1,False,2
"(2, 3, 3)",54,2,1,5,True,2
"(3, 3, 1)",54,0,1,5,True,1
"(5, 5, 1)",54,1,2,1,False,2
"(4, 2, 1)",55,0,2,4,True,1
"(2, 3, 1)",56,2,0,3,True,2
"(4, 3, 3)",56,2,0,3,True,2
"(1, 4, 0)",56,2,1,2,False,2
"(2, 1, 3)",57,1,0,1,False,1
"(1, 3, 3)",57,2,1,0,False,3
"(4, 3, 1)",57,1,2,2,False,2
"(1, 3, 3)",58,2,1,0,False,3
